subject,word,pos,meaning,sentence e,sentence c,,,,,,,
物理 (力學) - Mechanics,acceleration,n.,加速度,The constant acceleration of gravity on earth is approximately 9.8m/s2.,地球上的重力加速度約為恆定的 9.8m/s2。,,,,,,,
物理 (力學) - Mechanics,angular momentum,n.,角動量,Angular momentum is conserved in a system when no external torque acts on it.,"當沒有外力矩作用時,系統的角動量守恆。",,,,,,,
物理 (力學) - Mechanics,center of mass,n.,質心,The center of mass is the point where the entire mass of a system can be considered to be concentrated.,質心是系統總質量可以被視為集中的那一點。,,,,,,,
物理 (力學) - Mechanics,centrifugal force,n.,離心力,Centrifugal force is the apparent outward force felt by an object in a rotating reference frame.,離心力是旋轉參考系中物體感受到的向外假想力。,,,,,,,
物理 (力學) - Mechanics,centripetal force,n.,向心力,Centripetal force is the force that keeps an object moving in a circular path.,向心力是使物體保持圓周運動的力。,,,,,,,
物理 (力學) - Mechanics,coefficient of friction,n.,摩擦係數,The coefficient of friction is the ratio of frictional force to normal force.,摩擦係數是摩擦力與正向力的比值。,,,,,,,
物理 (力學) - Mechanics,conservation of energy,n.,能量守恆,"Energy cannot be created or destroyed,only transformed from one form to another.","能量不能創造或消滅,只能從一種形式轉換為另一種形式。",,,,,,,
物理 (力學) - Mechanics,conservative force,n.,保守力,A conservative force is one where the work done is independent of the path taken.,保守力是做功與路徑無關的力。,,,,,,,
物理 (力學) - Mechanics,displacement,n.,位移,Displacement is a vector quantity that refers to the change in an object's position.,"位移是一個向量,指的是物體位置的改變。",,,,,,,
物理 (力學) - Mechanics,elastic collision,n.,彈性碰撞,"In an elastic collision,both momentum and kinetic energy are conserved.","在彈性碰撞中,動量和動能都守恆。",,,,,,,
物理 (力學) - Mechanics,energy,n.,能量,Energy is the capacity to do work or produce change.,能量是做功或產生變化的能力。,,,,,,,
物理 (力學) - Mechanics,escape velocity,n.,逃逸速度,Escape velocity is the minimum speed needed to break free from a planet's gravitational pull.,逃逸速度是脫離星球引力束縛所需的最小速度。,,,,,,,
物理 (力學) - Mechanics,force,n.,力,"Force is any interaction that,when unopposed,will change the motion of an object.",力是任何能改變物體運動狀態的相互作用。,,,,,,,
物理 (力學) - Mechanics,frequency,n.,頻率,"Frequency is the number of cycles per second,measured in hertz.","頻率是每秒鐘完成的循環次數,單位為赫茲。",,,,,,,
物理 (力學) - Mechanics,impulse,n.,衝量,"Impulse is the change in momentum,equal to force multiplied by time.","衝量是動量的變化量,等於力乘以時間。",,,,,,,
物理 (力學) - Mechanics,inelastic collision,n.,非彈性碰撞,"In an inelastic collision,momentum is conserved but kinetic energy is not.","在非彈性碰撞中,動量守恆但動能不守恆。",,,,,,,
物理 (力學) - Mechanics,inertia,n.,慣性,Inertia is the tendency of an object to resist any change in its motion.,慣性是物體抵抗其運動狀態改變的傾向。,,,,,,,
物理 (力學) - Mechanics,kepler's first law,n.,克卜勒第一定律,Kepler's first law states that planets move in elliptical orbits with the sun at one focus.,"克卜勒第一定律指出行星以橢圓軌道運行,太陽位於其中一個焦點。",,,,,,,
物理 (力學) - Mechanics,kepler's second law,n.,克卜勒第二定律,Kepler's second law states that a planet sweeps out equal areas in equal times.,克卜勒第二定律指出行星在相等時間內掃過相等的面積。,,,,,,,
物理 (力學) - Mechanics,kepler's third law,n.,克卜勒第三定律,Kepler's third law relates the orbital period to the semi-major axis of the orbit.,克卜勒第三定律將軌道週期與軌道半長軸聯繫起來。,,,,,,,
物理 (力學) - Mechanics,kinetic energy,n.,動能,"Kinetic energy is the energy an object possesses due to its motion,calculated as 1/2mv2.","動能是物體因運動而擁有的能量,計算公式為 1/2mv2。",,,,,,,
物理 (力學) - Mechanics,kinetic friction,n.,動摩擦力,Kinetic friction opposes the motion of two surfaces sliding past each other.,動摩擦力阻礙兩個表面互相滑動的運動。,,,,,,,
物理 (力學) - Mechanics,mass,n.,質量,"Mass is a measure of the amount of matter in an object,measured in kilograms.","質量是物體所含物質的量,單位為公斤。",,,,,,,
物理 (力學) - Mechanics,mechanical energy,n.,力學能,Mechanical energy is the sum of kinetic and potential energy in a system.,力學能是系統中動能與位能的總和。,,,,,,,
物理 (力學) - Mechanics,momentum,n.,動量,The law of conservation of momentum states that total momentum remains constant in a closed system.,"動量守恆定律指出,在封閉系統中總動量保持不變。",,,,,,,
物理 (力學) - Mechanics,newton's first law,n.,牛頓第一運動定律,Newton's first law states that an object at rest stays at rest and an object in motion stays in motion unless acted by a net force.,牛頓第一定律指出物體保持靜止或等速直線運動,,,,,,,
物理 (力學) - Mechanics,newton's second law,n.,牛頓第二運動定律,"Newton's second law states that f=ma,where force equals mass times acceleration.","牛頓第二定律指出 f=ma,即力量等於質量乘以加速度。",,,,,,,
物理 (力學) - Mechanics,newton's third law,n.,牛頓第三運動定律,Newton's third law states that for every action there is an equal and opposite reaction.,牛頓第三定律指出每個作用力都有一個大小相等,,,,,,,
物理 (力學) - Mechanics,normal force,n.,正向力,Normal force is the support force exerted by a surface on an object resting on it.,正向力是物體靜止在表面上時，表面對物體施加的支撐力。,,,,,,,
物理 (力學) - Mechanics,orbital motion,n.,軌道運動,Orbital motion occurs when an object moves around another due to gravity.,軌道運動是一個物體因重力而繞另一物體運動。,,,,,,,
