subject,word,pos,meaning,sentence e,sentence c
 academic,abstract,n.,摘要,The abstract provides a concise summary of the research paper's purpose and findings.,摘要簡潔概括了研究論文的目的與發現。
 academic,academic framing,n.,學術框架設定,Academic framing situates the discussion within a specific theoretical context.,學術框架設定將討論置於特定的理論脈絡中。
 academic,academic tone,n.,學術語氣,"Maintaining an academic tone requires objectivity, precision, and formality.",維持學術語氣需要客觀、精確與正式。
 academic,analysis,n.,分析；闡釋,"After presenting data, the writer must provide thorough analysis to explain its significance.",提出數據後，作者必須提供深入分析以解釋其重要性。
 academic,annotation,n.,註釋；評註,Annotation adds explanatory notes to a text for deeper understanding.,註釋為文本添加解釋性筆記以促進深入理解。
 academic,boosting,n.,強化語氣；肯定表述,Boosting phrases like 'it is evident that' emphasize the writer's confidence in the claim.,強化語氣片語（如「顯然」）強調作者對主張的信心。
 academic,citation,n.,引用；引註,Proper citation avoids plagiarism and credits original authors.,正確引用可避免抄襲並致謝原作者。
 academic,citation integration,n.,引用融入,Proper citation integration weaves source material smoothly into the paragraph.,恰當的引用融入能將來源資料流暢地編織進段落中。
 academic,claim,n.,主張；論點,Each body paragraph should present a clear claim that supports the thesis.,每個主體段都應提出一個支持論文主旨的明確主張。
 academic,commentary,n.,評論；闡釋性文字,Commentary links the evidence back to the paragraph's main idea.,評論性文字將證據與段落主旨聯繫起來。
 academic,comparative paragraph,n.,比較段,A comparative paragraph systematically examines similarities and differences between theories.,比較段系統性地檢視不同理論間的異同。
 academic,concession,n.,讓步,A concession admits partial validity in the opposing argument before refuting it.,讓步承認對立論點的部分合理性，隨後再進行反駁。
 academic,counterargument,n.,反方論點；對立觀點,A well-developed paragraph acknowledges and addresses the counterargument.,一個發展完善的段落會承認並回應反方論點。
 academic,critical evaluation,n.,批判性評估,Critical evaluation assesses the strengths and limitations of a source.,批判性評估會檢視資料來源的優勢與限制。
 academic,evidence,n.,證據；佐證資料,"Strong evidence, such as peer-reviewed studies, strengthens the argument.",強大的證據（如同儕審查研究）能強化論證。
 academic,hedging,n.,謹慎表述；模糊限制語,Academic writing often uses hedging to avoid overgeneralization.,學術寫作常使用謹慎表述來避免過度概括。
 academic,hook,n.,開頭引子；吸引句,A strong hook at the beginning of an essay grabs the reader's interest.,文章開頭有力的引子能抓住讀者的興趣。
 academic,link sentence,n.,連結句；銜接句,The link sentence connects the paragraph's analysis back to the overall thesis.,連結句將段落分析與整體論文主旨相連接。
 academic,literature review,n.,文獻回顧,A thorough literature review identifies gaps in existing research.,詳盡的文獻回顧能識別現有研究中的空白。
 academic,literature review paragraph,n.,文獻回顧段,A literature review paragraph summarizes and synthesizes previous research on a topic.,文獻回顧段會總結並綜合該主題的過往研究。
 academic,MEAL plan,n.,MEAL段落結構法,"The MEAL plan stands for Main idea, Evidence, Analysis, and Link.",MEAL結構法代表主旨、證據、分析與連結。
 academic,metadiscourse,n.,元話語；組織性語言,"Metadiscourse helps readers navigate the text (e.g., 'this section will discuss...').",元話語幫助讀者理解文本結構（例如：「本節將探討……」）。
 academic,methodological paragraph,n.,方法論段,The methodological paragraph outlines the research design and data collection process.,方法論段概述研究設計與資料收集過程。
 academic,methodology,n.,研究方法；方法論,The methodology section explains how the data was collected and analyzed.,研究方法章節說明資料是如何收集與分析的。
 academic,paragraph unity,n.,段落統一性,Paragraph unity ensures every sentence directly supports the central claim.,段落統一性確保每句話都直接支持核心主張。
