date,word,ipa,pos,meaning,sentence e,sentence c
01-01,analyze,/ˈæn.ə.laɪz/,v.,分析,Students must analyze the data before drawing conclusions.,學生必須先分析資料再下結論。
01-02,approach,/əˈprəʊtʃ/,n./v.,方法；接近,We need a new approach to solving this problem.,我們需要一個新方法來解決這個問題。
01-03,aspect,/ˈæs.pekt/,n.,面向；層面,One important aspect of the plan is cost control.,這個計畫的一個重要層面是成本控制。
01-04,assume,/əˈsjuːm/,v.,假設；認為,Don't assume everyone knows the rules.,不要假設每個人都知道規則。
01-05,benefit,/ˈben.ɪ.fɪt/,n./v.,好處；使受益,Regular exercise benefits both mind and body.,規律運動對身心都有好處。
01-06,commit,/kəˈmɪt/,v.,承諾；投入,She committed herself to learning English daily.,她承諾自己每天學英文。
01-07,conduct,/ˈkɒn.dʌkt/,v./n.,進行；行為,The researchers conducted a survey last month.,研究人員上個月進行了一項調查。
01-08,consequence,/ˈkɒn.sɪ.kwəns/,n.,結果；後果,Eating too much sugar can have serious consequences.,吃太多糖可能有嚴重後果。
01-09,consume,/kənˈsjuːm/,v.,消耗；食用,This device consumes less energy than the old one.,這台裝置比舊的更省電。
01-10,contribute,/kənˈtrɪb.juːt/,v.,貢獻；促成,Everyone can contribute to a cleaner environment.,每個人都能為更乾淨的環境盡一份心力。
01-11,demonstrate,/ˈdem.ən.streɪt/,v.,示範；證明,The teacher demonstrated how to solve the equation.,老師示範了如何解這個方程式。
01-12,distinct,/dɪˈstɪŋkt/,adj.,獨特的；明顯的,Each culture has its own distinct traditions.,每個文化都有其獨特的傳統。
01-13,emphasize,/ˈem.fə.saɪz/,v.,強調,He emphasized the importance of punctuality.,他強調了準時的重要性。
01-14,ensure,/ɪnˈʃɔːr/,v.,確保；保證,Please ensure that all doors are locked.,請確保所有門都已鎖上。
01-15,establish,/ɪˈstæb.lɪʃ/,v.,建立；創立,The company was established in 1990.,這家公司成立於 1990 年。
01-16,evaluate,/ɪˈvæl.ju.eɪt/,v.,評估；評價,We need to evaluate the effectiveness of the strategy.,我們需要評估這個策略的成效。
01-17,feature,/ˈfiː.tʃər/,n./v.,特徵；以…為特色,This phone's best feature is its camera.,這支手機最好的功能是它的相機。
01-18,focus,/ˈfəʊ.kəs/,n./v.,焦點；專注,Try to focus on your studies.,試著專注在你的課業上。
01-19,generate,/ˈdʒen.ə.reɪt/,v.,產生；引起,The project generated a lot of interest.,這個專案引起了很多關注。
01-20,identify,/aɪˈdent.ɪ.faɪ/,v.,識別；認出,Can you identify the bird by its song?,你能從叫聲認出這種鳥嗎？
01-21,imply,/ɪmˈplaɪ/,v.,暗示；意味著,Are you implying that I am wrong?,你在暗示我錯了嗎？
01-22,indicate,/ˈɪn.dɪ.keɪt/,v.,指出；顯示,The sign indicates that we should turn left.,路標顯示我們應該左轉。
01-23,individual,/ˌɪn.dɪˈvɪd.ju.əl/,n./adj.,個人；個別的,Every individual has the right to speak.,每個人都有發言權。
01-24,interpret,/ɪnˈtɜː.prɪt/,v.,解釋；口譯,How do you interpret this poem?,你如何解釋這首詩？
01-25,investigate,/ɪnˈves.tɪ.ɡeɪt/,v.,調查；研究,Police are investigating the cause of the accident.,警方正在調查事故原因。
01-26,involve,/ɪnˈvɒlv/,v.,涉及；包含,The job involves a lot of travel.,這份工作需要頻繁出差。
