subject,word,pos,meaning,sentence e,sentence c,
History 歷史,civilization,n.,文明,Ancient civilizations like Egypt built amazing pyramids.,像埃及這樣的古文明建造了驚人的金字塔。,
History 歷史,empire,n.,帝國,The Roman Empire was one of the largest empires in history.,羅馬帝國是歷史上最大的帝國之一。,
History 歷史,king,n.,國王,A king rules over a kingdom with the help of advisors.,國王在顧問的幫助下統治王國。,
History 歷史,war,n.,戰爭,War often changes the borders of countries.,戰爭常常改變國家的邊界。,
History 歷史,tradition,n.,傳統,Families pass down traditions from one generation to the next.,家庭將傳統代代相傳。,
History 歷史,dynasty,n.,王朝,The Tang Dynasty was a golden age of Chinese poetry and art.,唐朝是中國詩歌與藝術的黃金時代。,
History 歷史,archaeology,n.,考古學,Archaeology helps us understand ancient cultures through material remains.,考古學透過物質遺存幫助我們理解古代文化。,
History 歷史,artifact,n.,文物,Archaeologists study artifacts to learn about past civilizations.,考古學家研究文物以了解過去的文明。,
History 歷史,heritage,n.,遺產,"Cultural heritage includes traditions, monuments, and languages passed down through generations.",文化遺產包含代代相傳的傳統、古蹟與語言。,
History 歷史,excavation,n.,挖掘,Archaeological excavation requires careful documentation of every layer of soil.,考古挖掘需要仔細記錄每一層土壤。,
History 歷史,chronicle,n.,編年史,Medieval monks wrote chronicles to record important events year by year.,中世紀僧侶撰寫編年史，逐年記錄重要事件。,
History 歷史,revolution,n.,革命,The American Revolution led to the independence of the United States.,美國革命導致了美國的獨立。,
History 歷史,colony,n.,殖民地,Many countries established colonies to expand their power and trade.,許多國家建立殖民地以擴張權力和貿易。,
History 歷史,migration,n.,遷徙,Human migration has shaped the cultural landscape of the world.,人類遷徙塑造了世界的文化景觀。,
History 歷史,feudalism,n.,封建制度,Feudalism was a social system in medieval Europe where land was exchanged for service.,封建制度是中世紀歐洲的一種社會制度，以土地交換服務。,
History 歷史,renaissance,n.,文藝復興,The Renaissance marked a period of great cultural and intellectual rebirth in Europe.,文藝復興標誌著歐洲文化與知識重大重生的時期。,
History 歷史,imperialism,n.,帝國主義,Imperialism often involves a powerful nation extending its influence over weaker territories.,帝國主義通常涉及一個強大的國家將其影響力擴張到較弱的領土上。,
History 歷史,industrialization,n.,工業化,"Industrialization transformed agrarian societies into urban, manufacturing centers.",工業化將農業社會轉變為城市製造中心。,
History 歷史,city-state,n.,城邦,Ancient Greece was composed of several independent city-states like Athens and Sparta.,古希臘由幾個獨立的城邦組成，如雅典和斯巴達。,
History 歷史,manorialism,n.,莊園制度,Manorialism was the economic system of medieval Europe based on self-sufficient estates.,莊園制度是中世紀歐洲基於自給自足莊園的經濟體系。,
History 歷史,chivalry,n.,騎士精神,"The code of chivalry emphasized honor, bravery, and the protection of the weak.",騎士精神準則強調榮譽、勇敢以及保護弱者。,
History 歷史,absolutism,n.,君主專制,Absolutism in Europe gave monarchs total power over their subjects and the state.,歐洲的君主專制賦予君主對臣民和國家的絕對權力。,
History 歷史,decolonization,n.,去殖民化,Decolonization after World War II led to the independence of many African nations.,二次大戰後的去殖民化導致了許多非洲國家的獨立。,
History 歷史,nationalism,n.,民族主義,Nationalism played a key role in the unification of Germany and Italy in the 19th century.,民族主義在 19 世紀德意志與義大利的統一中扮演了關鍵角色。,
History 歷史,globalization,n.,全球化,Globalization has increased the economic interdependence between countries across the world.,全球化增加了世界各國之間經濟上的相互依存。,
History 歷史,historiography,n.,歷史編纂學,Historiography examines how historical narratives change over time based on new evidence.,歷史編纂學研究歷史敘事如何根據新證據隨時間而改變。,
History 歷史,colonialism,n.,殖民主義,Colonialism involved powerful nations controlling weaker territories for resources.,殖民主義涉及強國為資源控制較弱領土。,
History 歷史,enlightenment,n.,啟蒙運動,"The Enlightenment emphasized reason, science, and individual rights.",啟蒙運動強調理性、科學與個人權利。,
History 歷史,industrial revolution,n.,工業革命,The Industrial Revolution transformed economies from agricultural to industrial.,工業革命將經濟從農業轉型為工業。,
History 歷史,cold war,n.,冷戰,The Cold War was a period of political tension between the US and USSR.,冷戰是美國與蘇聯之間政治緊張的時期。,
History 歷史,postcolonialism,n.,後殖民主義,Postcolonialism analyzes the cultural and political impacts of colonial rule.,後殖民主義分析殖民統治的文化與政治影響。,
History 歷史,oral history,n.,口述歷史,Oral history preserves personal narratives that may not appear in written records.,口述歷史保存可能未出現在書面記錄中的個人敘事。,
History 歷史,historical materialism,n.,歷史唯物主義,Historical materialism views economic factors as the primary driver of historical change.,歷史唯物主義將經濟因素視為歷史變遷的主要驅動力。,
History 歷史,paleolithic,adj.,舊石器時代的,Paleolithic humans primarily relied on hunting and gathering for survival.,舊石器時代的人類主要依靠狩獵和採集生存。,
History 歷史,neolithic revolution,n.,新石器革命,The Neolithic Revolution marked the transition from nomadic life to settled farming.,新石器革命標誌著從遊牧生活到定居農業的轉變。,
History 歷史,nomadic,adj.,遊牧的,Nomadic tribes traveled from place to place to find fresh pasture for their livestock.,遊牧部落四處遷移，為他們的牲畜尋找新鮮的牧場。,
