subject,word,pos,meaning,sentence e,sentence c
人資 Human Resources,360-degree feedback,n.,360度回饋,"360-degree feedback collects performance input from supervisors, peers, and subordinates.",360度回饋從主管、同儕與下屬收集績效意見。
人資 Human Resources,benefits,n.,員工福利,The company offers comprehensive benefits including health insurance and retirement plans.,公司提供包含健康保險與退休計畫在內的完整員工福利。
人資 Human Resources,candidate,n.,候選人；應徵者,We interviewed three candidates for the senior manager position.,我們為高階經理職位面試了三位應徵者。
人資 Human Resources,certification,n.,專業認證,Obtaining a professional certification can enhance your career prospects.,取得專業認證能提升您的職涯發展前景。
人資 Human Resources,competency,n.,能力；勝任力,The training program aims to improve employees' core competencies in digital skills.,該培訓計畫旨在提升員工在數位技能方面的核心能力。
人資 Human Resources,labor law,n.,勞動法規,"Labor laws establish minimum standards for wages, hours, and workplace safety.",勞動法規確立薪資、工時與職場安全的最低標準。
人資 Human Resources,onboarding,n.,新人導入,Onboarding helps new employees integrate into the organization and become productive quickly.,新人導入協助新進員工融入組織並快速產出。
人資 Human Resources,onboarding,n.,新人導入,The onboarding process helps new hires adapt to company culture quickly.,新人導入流程協助新進員工快速適應企業文化。
人資 Human Resources,probation,n.,試用期,New employees are typically on probation for the first three months.,新進員工通常有三個月的試用期。
人資 Human Resources,resume,n.,履歷,A well-written resume highlights your skills and relevant work experience.,一份撰寫良好的履歷能突顯您的技能與相關工作經驗。
人資 Human Resources,succession planning,n.,接班人規劃,Succession planning ensures that key roles can be filled when employees leave.,接班人規劃確保關鍵職位能在員工離職時順利接替。
人資 Human Resources,talent acquisition,n.,人才招募,Talent acquisition is a strategic approach to identifying and hiring skilled professionals.,人才招募是一種識別與聘僱專業人才的策略性方法。
人資 Human Resources,workshop,n.,工作坊；實務研討會,The leadership workshop focused on conflict resolution and team building.,領導力工作坊聚焦於衝突解決與團隊建立。
保險  Insurance,beneficiary,n.,受益人,The beneficiary receives the insurance payout when a covered event occurs.,受益人在承保事件發生時獲得保險給付。
保險  Insurance,claim,n.,理賠申請,File a claim promptly after an accident to start the insurance reimbursement process.,事故發生後請盡快提出理賠申請以啟動保險報銷流程。
保險  Insurance,coverage,n.,保障範圍；保險金額,Review your policy carefully to understand what is included in your coverage.,請仔細檢視保單以了解您的保障範圍包含哪些項目。
保險  Insurance,deductible,n.,自負額,A deductible is the amount you pay out-of-pocket before insurance coverage begins.,自負額是保險開始給付前您需自行負擔的金額。
保險  Insurance,health insurance,n.,健康保險,"Health insurance helps cover medical expenses such as doctor visits, hospital stays, and prescriptions.",健康保險有助於支付門診、住院與處方藥等醫療費用。
保險  Insurance,liability insurance,n.,責任保險,Liability insurance covers legal costs if you are held responsible for causing injury or damage to others.,責任保險在您被認定對他人造成傷害或損失時，涵蓋相關法律費用。
保險  Insurance,life insurance,n.,人壽保險,Life insurance provides financial protection to beneficiaries upon the policyholder's death.,人壽保險在被保險人身故時為受益人提供財務保障。
保險  Insurance,policyholder,n.,要保人；保單持有人,The policyholder is the person who owns the insurance policy and pays the premiums.,要保人是擁有保險單並支付保費的人。
保險  Insurance,premium,n.,保費,The premium is the amount you pay regularly to keep your insurance policy active.,保費是您為維持保險單有效而定期支付的金額。
保險  Insurance,property insurance,n.,財產保險,"Property insurance protects against damage to buildings and personal belongings from fire, theft, or natural disasters.",財產保險保障建築物與個人財物免受火災、竊盜或天然災害的損失。
保險  Insurance,underwriting,n.,核保；風險評估,Underwriting assesses the risk of insuring a person or asset to determine premium rates.,核保評估承保個人或資產的風險，以決定保費費率。
創投 Entrepreneurship,angel investor,n.,天使投資人,An angel investor provides capital to startups in exchange for equity ownership.,天使投資人提供資金給新創公司以換取股權。
創投 Entrepreneurship,minimum viable product,n.,最小可行產品 (mvp),An MVP is a version of a product with just enough features to satisfy early customers.,最小可行產品是具備足夠功能以滿足早期客戶的產品版本。
創投 Entrepreneurship,pitch deck,n.,簡報簡報,A pitch deck is a presentation used to persuade investors to fund a startup.,簡報簡報是用來說服投資者資助新創公司的簡報。
創投 Entrepreneurship,seed funding,n.,種子資金,Seed funding is the initial capital used to start a business and develop a prototype.,種子資金是用於創業與開發原型的最初資本。
商務信件 Business Correspondence,apologize,v.,致歉,We apologize for any inconvenience this delay may have caused.,我們為此延遲可能造成的任何不便致歉。
