date,quote e,quote c,author
01-01,Every day is a fresh start.,每一天都是全新的開始。,Unknown
01-02,Small steps every day lead to big change.,每天的小步前進，會帶來巨大的改變。,Unknown
01-03,Believe you can and you are halfway there.,相信你做得到，你就已經成功了一半。,Theodore Roosevelt
01-04,Progress not perfection.,追求進步，而非完美。,Unknown
01-05,Your effort today shapes your tomorrow.,你今天的努力，正在塑造你的明天。,Unknown
01-06,Dream big start small act now.,夢想要大，起步要小，行動要快。,Robin Sharma
01-07,Challenges are chances to grow.,挑戰就是成長的機會。,Unknown
01-08,Be the reason someone smiles today.,成為讓別人今天微笑的理由。,Unknown
01-09,Success is built on consistency.,成功是靠持續累積出來的。,Unknown
01-10,Do what you can with what you have where you are.,用你所擁有的，在你所在的位置，做你能做的事。,Theodore Roosevelt
01-11,The future depends on what you do today.,未來取決於你今天做了什麼。,Mahatma Gandhi
01-12,You are stronger than you think.,你比自己想像的還要強大。,Unknown
01-13,Focus on the step in front of you.,專注於眼前的下一步。,Unknown
01-14,It always seems impossible until it is done.,在完成之前，一切看起來都不可能。,Nelson Mandela
01-15,Courage is trying one more time.,勇氣就是再嘗試一次。,Unknown
01-16,Keep going you are getting there.,繼續走，你正在到達。,Unknown
01-17,Mistakes are proof that you are learning.,犯錯是你正在學習的證明。,Unknown
01-18,Start where you are.,從你現在的位置開始。,Arthur Ashe
01-19,You do not have to be great to start.,你不必很厲害才開始。,Zig Ziglar
01-20,A little progress each day adds up.,每天一點點進步，就會累積成大成就。,Unknown
01-21,Hard work beats talent when talent does not work hard.,當天賦不努力時，努力就會贏過天賦。,Tim Notke
01-22,The best time to begin is now.,最好的開始時間就是現在。,Unknown
01-23,Your only limit is your mind.,你的限制只存在於你的想法。,Unknown
01-24,Stay positive work hard make it happen.,保持正向，努力去做，讓它成真。,Unknown
01-25,The secret of getting ahead is getting started.,領先的祕訣就是開始。,Mark Twain
01-26,Be proud of how far you have come.,為你走到今天的自己感到驕傲。,Unknown
01-27,You can do hard things.,你做得到那些不容易的事。,Unknown
01-28,Do your best and let it grow.,盡力而為，讓成果自然成長。,Unknown
01-29,Push yourself because no one else will.,推自己一把，因為沒有人會替你做。,Unknown
01-30,Turn setbacks into comeback.,把挫折變成逆轉的力量。,Unknown
01-31,Believe in your growth.,相信自己的成長。,Unknown
02-01,Stay curious and keep learning.,保持好奇，不斷學習。,Unknown
02-02,Great things take time.,偉大的事情需要時間。,Unknown
02-03,One day or day one you decide.,要嘛有一天，要嘛第一天，由你決定。,Unknown
02-04,Your pace is still progress.,你的步調仍然是進步。,Unknown
02-05,Practice makes progress.,練習帶來進步。,Unknown
02-06,The climb is tough but the view is worth it.,路途辛苦，但風景值得。,Unknown
02-07,Do not quit you are closer than you think.,別放棄，你比想像中更接近了。,Unknown
02-08,Learn from yesterday live for today hope for tomorrow.,從昨天學習，為今天而活，對明天懷抱希望。,Albert Einstein
02-09,Every accomplishment starts with the decision to try.,每個成就都從「願意試試看」開始。,Unknown
02-10,You are capable of amazing things.,你有能力做到很棒的事。,Unknown
02-11,Choose progress over comfort.,選擇進步，而不是安逸。,Unknown
02-12,The only way to fail is to stop trying.,停止嘗試，才是真正的失敗。,Unknown
02-13,A positive mind finds opportunity.,正向的心會找到機會。,Unknown
02-14,Give yourself credit for trying.,為自己的努力給自己肯定。,Unknown
02-15,What you repeat you become.,你重複做的事，會成為你的樣子。,Unknown
02-16,The way you speak to yourself matters.,你對自己說的話很重要。,Unknown
02-17,Keep your face to the sunshine.,讓臉朝向陽光，陰影就會在後面。,Helen Keller
02-18,Today is your chance to get better.,今天就是你變得更好的機會。,Unknown
02-19,Keep moving forward.,持續向前走。,Walt Disney
02-20,You are allowed to be a beginner.,你可以從新手開始。,Unknown
02-21,Success comes from showing up daily.,成功來自每天都願意出現。,Unknown
02-22,Your actions today create your story.,你今天的行動正在寫下你的故事。,Unknown
02-23,Be patient with yourself.,對自己多一點耐心。,Unknown
02-24,Try again with new strength.,帶著新的力量再試一次。,Unknown
02-25,The effort you give is never wasted.,你的努力從不會白費。,Unknown
02-26,Every step counts.,每一步都算數。,Unknown
02-27,You grow through what you go through.,你走過的路，會讓你成長。,Unknown
02-28,Make today meaningful.,讓今天變得有意義。,Unknown
02-29,What we achieve inwardly will change outer reality.,「內在成就，將改變外在現實。」,Plutarch
03-01,Believe in the power of yet.,相信「還沒」的力量。,Unknown
03-02,Even slow progress is progress.,就算慢，還是在前進。,Unknown
03-03,Your best is enough.,你的盡力就已經足夠。,Unknown
03-04,A good attitude changes everything.,好心態能改變一切。,Unknown
03-05,The more you practice the better you get.,你越練習，就越進步。,Unknown
03-06,Don’t be afraid to start over.,別害怕重新開始。,Unknown
03-07,Success is a journey.,成功是一段旅程。,Unknown
03-08,You are learning more than you know.,你正在學到比你想像更多的東西。,Unknown
03-09,Work hard and be kind.,努力，也要善良。,Unknown
03-10,Stay focused and stay humble.,保持專注，也保持謙遜。,Unknown
03-11,Your mindset is your superpower.,你的心態就是你的超能力。,Unknown
03-12,Take it one step at a time.,一步一步來。,Unknown
03-13,There is joy in the process.,過程裡也有喜悅。,Unknown
03-14,You can improve every day.,你每天都可以更好一點。,Unknown
03-15,Do not compare your chapter one to someone else’s chapter twenty.,別拿你的第一章去比別人的第二十章。,Unknown
03-16,Success starts with self-discipline.,成功從自律開始。,Unknown
03-17,You are not behind.,你沒有落後。,Unknown
03-18,Consistency creates confidence.,持續會帶來自信。,Unknown
03-19,Be brave enough to learn.,勇敢去學習。,Unknown
03-20,Let your goals pull you forward.,讓目標拉著你往前。,Unknown
03-21,Fall seven times stand up eight.,跌倒七次，站起來八次。,Japanese Proverb
03-22,Effort opens doors.,努力會打開機會的大門。,Unknown
03-23,You have what it takes.,你具備成功所需的一切。,Unknown
03-24,Stay steady stay strong.,保持穩定，保持堅強。,Unknown
03-25,Turn your can’t into can.,把「我不行」變成「我可以」。,Unknown
03-26,The habit of effort builds success.,努力的習慣會堆出成功。,Unknown
03-27,Your future self will thank you.,未來的你會感謝現在的你。,Unknown
03-28,Learning is your advantage.,學習就是你的優勢。,Unknown
03-29,You make progress by practicing.,你靠練習來進步。,Unknown
03-30,Start small but start now.,從小開始，但現在就開始。,Unknown
03-31,Your kindness is your strength.,善良也是一種力量。,Unknown
04-01,Do something today your future will smile about.,做一件未來會讓你微笑的事。,Unknown
04-02,Confidence grows with action.,自信會在行動中長大。,Unknown
04-03,The goal is to be better than yesterday.,目標是比昨天更好。,Unknown
04-04,Never stop improving.,永遠不要停止進步。,Unknown
04-05,You are building your ability.,你正在打造自己的能力。,Unknown
04-06,One good choice can change your day.,一個好選擇就能改變你的一天。,Unknown
04-07,Keep your hopes high and your effort higher.,保持高希望，也付出更高努力。,Unknown
04-08,Trust the process.,相信過程。,Unknown
04-09,Believe in yourself a little more each day.,每天多相信自己一點點。,Unknown
04-10,You are closer than you were yesterday.,你比昨天更接近目標了。,Unknown
04-11,Your potential is endless.,你的潛力沒有極限。,Unknown
04-12,Do the next right thing.,做下一件正確的事。,Unknown
04-13,Success is the sum of small efforts repeated.,成功是無數次小努力的總和。,Robert Collier
04-14,Your courage inspires your future.,你的勇氣正在鼓舞未來的你。,Unknown
04-15,Nothing changes if nothing changes.,如果什麼都不改變，就什麼都不會改變。,Unknown
04-16,Keep showing up for yourself.,持續為自己出現、為自己努力。,Unknown
04-17,You learn by doing.,你會在行動中學會。,Unknown
04-18,Make mistakes and make progress.,犯錯也在進步。,Unknown
04-19,Your dreams are worth the work.,你的夢想值得你努力。,Unknown
04-20,Every moment is a chance to improve.,每一刻都是變得更好的機會。,Unknown
04-21,Do not fear failure fear not trying.,別怕失敗，怕的是不去嘗試。,Unknown
04-22,Great effort brings great reward.,大努力會帶來大收穫。,Unknown
04-23,You are growing even when it feels slow.,就算覺得慢，你也在成長。,Unknown
04-24,The first step is always the hardest.,第一步永遠最難，但最重要。,Unknown
04-25,Your work matters.,你的努力很重要。,Unknown
