subject,word,pos,meaning,sentence e,sentence c
化學 (基礎) / Basic Chemistry,element,n.,元素,An element is a pure substance that cannot be broken down into simpler substances by chemical means.,元素是一種純物質，無法透過化學方法分解成更簡單的物質。
化學 (基礎) / Basic Chemistry,compound,n.,化合物,A compound is a substance formed when two or more elements are chemically bonded.,化合物是兩種或多種元素透過化學鍵結合而成的物質。
化學 (基礎) / Basic Chemistry,mixture,n.,混合物,A mixture contains two or more substances that are physically combined but not chemically bonded.,混合物包含兩種或多種物質，它們是物理性混合而非化學鍵結。
化學 (基礎) / Basic Chemistry,solubility,n.,溶解度,Solubility refers to the maximum amount of solute that can dissolve in a solvent at a given temperature.,溶解度是指在特定溫度下，溶劑中所能溶解溶質的最大量。
化學 (基礎) / Basic Chemistry,ion,n.,離子,"An ion is an atom or molecule that has gained or lost electrons, giving it a positive or negative charge.",離子是獲得或失去電子的原子或分子，因而帶有正電或負電。
化學 (基礎) / Basic Chemistry,acid,n.,酸,An acid is a substance that donates hydrogen ions (H⁺) when dissolved in water.,酸是一種在水中溶解時會釋放氫離子（H⁺）的物質。
化學 (基礎) / Basic Chemistry,base,n.,鹼,A base is a substance that accepts hydrogen ions or produces hydroxide ions (OH⁻) in water.,鹼是一種能接受氫離子或在水中產生氫氧根離子（OH⁻）的物質。
化學 (基礎) / Basic Chemistry,exothermic,adj.,放熱的,An exothermic reaction releases energy in the form of heat to its surroundings.,放熱反應會以熱的形式向周圍環境釋放能量。
化學 (基礎) / Basic Chemistry,endothermic,adj.,吸熱的,An endothermic reaction absorbs thermal energy from its surroundings during the process.,吸熱反應在進行過程中會從周圍環境吸收熱能。
化學 (計量) / Chemical Stoichiometry,mole,n.,摩爾 (物質的量單位),"A mole represents 6.022×10²³ particles of a substance, known as Avogadro's number.",一摩爾代表 6.022×10²³ 個物質微粒，即阿佛加德羅常數。
化學 (計量) / Chemical Stoichiometry,molar mass,n.,莫耳質量,"The molar mass of a substance is the mass of one mole of that substance, expressed in g/mol.",物質的莫耳質量是指一摩耳該物質的質量，單位為 g/mol。
化學 (計量) / Chemical Stoichiometry,molarity,n.,體積莫耳濃度,Molarity is the concentration of a solution expressed as moles of solute per liter of solution.,體積莫耳濃度是以每公升溶液中所含溶質的莫耳數來表示的濃度。
化學 (計量) / Chemical Stoichiometry,stoichiometry,n.,化學計量學,Stoichiometry involves calculating the quantities of reactants and products in a chemical reaction.,化學計量學涉及計算化學反應中反應物與生成物的數量。
化學 (計量) / Chemical Stoichiometry,limiting reactant,n.,限量反應物,"The limiting reactant is the substance that is completely consumed first, determining the maximum amount of product.",限量反應物是最先完全耗盡的物質，決定了生成物的最大產量。
化學 (計量) / Chemical Stoichiometry,percent yield,n.,產率百分比,Percent yield compares the actual amount of product obtained to the theoretical maximum amount.,產率百分比是將實際獲得的生成物量與理論最大量進行比較。
化學 (氣體) / Gas Laws,ideal gas law,n.,理想氣體定律,The ideal gas law is expressed by the formula PV = nRT.,理想氣體定律由公式 PV = nRT 來表達。
化學 (氣體) / Gas Laws,Boyle's law,n.,波以耳定律,"Boyle's law states that at constant temperature, the pressure of a gas is inversely proportional to its volume.",波以耳定律指出：在恆溫下，氣體的壓力與體積成反比。
